,logFC.Riboseq_sample-RNAseq_sample,AveExpr.Riboseq_sample-RNAseq_sample,t.Riboseq_sample-RNAseq_sample,P.Value.Riboseq_sample-RNAseq_sample,adj.P.Val.Riboseq_sample-RNAseq_sample,B.Riboseq_sample-RNAseq_sample,Symbol.Riboseq_sample-RNAseq_sample
NOTCH2NLB,1.9658508326044,2.18343179328349,2.65874599179585,0.0265716103586664,0.083568276908811,-3.62935332896148,NOTCH2NLB
NOTCH2NLC,1.19702970010124,2.53886362483432,1.86130687302007,0.0963271294137935,0.20097129949147,-4.82689158409995,NOTCH2NLC
NOTCH3,0.0779195466339075,4.6200446436136,0.19312106526512,0.851243100462019,0.904819602262696,-6.58063911912067,NOTCH3
NOTCH4,0.535359390712821,0.105261168018695,2.77459269714903,0.0220228219382516,0.0732089004295352,-4.18153887968378,NOTCH4
NOTUM,0.583692973585676,0.375545348021326,1.54195943647239,0.158200417414098,0.284193089839959,-6.08727331303585,NOTUM
NOVA1,1.25128525326321,1.31310475227234,1.09550737587344,0.302339046937568,0.446608011581168,-5.9991825921963,NOVA1
NOVA2,1.74602610654609,1.12755500069293,2.05617547601091,0.0705832155212012,0.163004274177477,-4.77926212120757,NOVA2
NOXA1,1.62156647546088,1.60120012036936,1.35090682579491,0.210398061838669,0.347619947808144,-5.7021281341156,NOXA1
NPAS1,0.124484276010687,1.94606128209798,0.111753709163031,0.913523502837248,0.946230727296865,-6.65757210591366,NPAS1
NPAS2,-1.93207446554359,2.02634010070597,-2.67072555639582,0.0260600381072751,0.0824553155532294,-3.95029295868196,NPAS2
NPAS3,1.5799678231753,0.397031153225298,2.48874638410603,0.0350253265600587,0.100792409371159,-4.49588065007647,NPAS3
NPAT,-0.834801518910175,2.57372663088636,-1.41710836070983,0.190832023272717,0.324598374043881,-5.64922539741734,NPAT
NPC1,0.379047590048196,5.37571383914598,0.732765531842704,0.482742105370198,0.617724376290805,-6.57552327202184,NPC1
NPC1L1,2.57617651841271,0.945683588733009,2.18817543218434,0.0570516516202342,0.140258898727379,-4.62978774436537,NPC1L1
NPC2,0.370964549442092,3.77815853343285,0.719526394184041,0.490463102165888,0.624547494938036,-6.46064276441142,NPC2
NPDC1,-0.87128060690415,4.66645978303423,-1.76733792005297,0.111696209252864,0.222918728050882,-5.10215485520587,NPDC1
NPEPPS,-0.713195152950601,6.38812699058377,-2.5206955180132,0.0332523895750055,0.0971988726098017,-4.5258607486754,NPEPPS
NPEPPSP1,0.735454522055052,4.29753351855241,1.90042743135114,0.0905330403541066,0.19249178670471,-5.00517776250066,NPEPPSP1
NPFF,1.3344229259757,-0.166039748642495,4.14797564625561,0.00261003311683145,0.0171308449760235,-2.26929243824066,NPFF
NPHP1,1.20965956560765,1.3803723753455,1.01854243918476,0.335575758305401,0.480590236940114,-6.05969457115314,NPHP1
NPHP3,-0.0683955172882544,0.509200923071371,-0.286515599091339,0.781107195328718,0.856252529665138,-6.99163463202389,NPHP3
NPHP4,-1.09764237009449,2.97472341945397,-1.23654656852346,0.248206504791547,0.389180301493454,-5.86191096616659,NPHP4
NPIPA1,0.464244474600444,1.35162156672371,0.83867944145208,0.423821224171609,0.564854908227582,-6.43305031035811,NPIPA1
NPIPA5,0.146511954675425,0.675286941584657,0.30750948181513,0.765601115355944,0.845490968913894,-7.05217139949243,NPIPA5
NPIPB11,-0.996156269664656,2.49297673135301,-1.35624527617816,0.208759054782183,0.346166353701534,-5.74115002780999,NPIPB11
NPIPB12,-2.11892668064231,3.01820818886978,-3.47320571086562,0.00724522900711139,0.0344837234190954,-2.6911182055531,NPIPB12
NPIPB13,0.610822783019316,0.503931414069399,1.82695487508955,0.101700644602092,0.208723608154141,-5.46113978223347,NPIPB13
NPIPB15,1.75109042495174,0.806089040897863,2.91917060615434,0.017438803312654,0.0621029503049583,-3.60759328942665,NPIPB15
NPIPB2,1.67287955284676,1.0765190509851,2.45915016256411,0.036752001592169,0.103925064593688,-4.27595571551719,NPIPB2
NPIPB3,-2.84980702534134,3.80554656422551,-8.15378612993965,2.16094077862468e-05,0.000595134725825121,3.25495722119643,NPIPB3
NPIPB5,-2.83470467815287,4.01749972514155,-6.21758243383179,0.000170267270598143,0.00260178783951836,1.18725083013454,NPIPB5
NPIPB9,2.05544940752062,0.771647451515808,5.50881358185683,0.000405339813248391,0.00474116610061374,0.209954548787316,NPIPB9
NPL,-0.115060393221397,0.571394607041802,-0.557786296971973,0.590880507553312,0.70829141674562,-6.85273095852667,NPL
NPLOC4,-0.00637349275823329,6.33894104678007,-0.0267003215105721,0.979293799706486,0.988173642040117,-7.14891734995156,NPLOC4
NPM1,-1.60516993075833,8.25077214168921,-4.90373292661983,0.000897663767742774,0.00825997102331884,-1.09982376027157,NPM1
NPM2,2.13790368732625,0.563549791861423,3.1110065218092,0.0128236667022434,0.0504671147601248,-3.25325055454945,NPM2
NPM3,-0.41434159408619,4.77389508995904,-0.625028115882797,0.54779839319122,0.673032609439879,-6.4211722243521,NPM3
NPNT,-0.817643429248339,5.32568201861051,-1.5530095302194,0.15556525288335,0.28096075735028,-5.53538156277583,NPNT
NPPC,3.46567717502881,2.03864161036441,7.5761923230994,3.83545666525273e-05,0.000902482953333968,2.73080059260787,NPPC
NPR1,3.60425790651293,1.25108924883854,4.57867005372072,0.00140624720097096,0.0113447988476046,-0.790727044226442,NPR1
NPR2,-0.234211537801988,0.944247972187838,-0.42796943278387,0.678945388216225,0.778094893322239,-6.88156520927527,NPR2
NPR3,1.38517750303727,0.435259468120977,2.70065809802772,0.0248249814298122,0.0794917413985232,-4.20779231445216,NPR3
NPRL2,2.03614513469313,3.32924609595548,3.31596774832216,0.00926736215322486,0.0408736703777659,-2.60961379094626,NPRL2
NPRL3,2.43800206409313,4.1872379183538,4.11048787812526,0.00275786226812732,0.0177625655921333,-1.51135579219598,NPRL3
NPTN,0.772890622617599,6.06089066872049,2.6974262503266,0.0249554230200801,0.079782758649794,-4.28944061290447,NPTN
NPTN-IT1,-0.0121233374189175,0.505851212243083,-0.0519492522477966,0.959727997529387,0.975384321729159,-7.04418622774731,NPTN-IT1
NPTX1,-2.18319368274002,5.59833799460886,-4.28136002495825,0.00214892278952932,0.0150356999078815,-1.2832783815629,NPTX1
NPTX2,1.51958132501174,1.39345623043832,1.41759143632813,0.190695219269995,0.324404760290853,-5.69713719020464,NPTX2
NPTXR,-1.48783168362813,2.75590783537289,-1.38971919964422,0.198728455617637,0.33388650915266,-5.71404717920983,NPTXR
NQO1,2.12061658363493,0.943383903255913,1.95850069465135,0.0825362491026657,0.181389596019837,-4.88018445184228,NQO1
NQO2,0.928516456836327,2.50965668805129,1.600296508674,0.144726432849369,0.267126131385461,-5.21494378195835,NQO2
NR1D1,2.77879614160982,1.65810397373418,2.2690230548655,0.0500500788391283,0.128200894057048,-4.29215984736557,NR1D1
NR1D2,-1.9464251907386,5.06022035819946,-4.34255432089192,0.00196725339158477,0.0141329130846888,-1.17407953092919,NR1D2
