,logFC.Riboseq_sample-RNAseq_sample,AveExpr.Riboseq_sample-RNAseq_sample,t.Riboseq_sample-RNAseq_sample,P.Value.Riboseq_sample-RNAseq_sample,adj.P.Val.Riboseq_sample-RNAseq_sample,B.Riboseq_sample-RNAseq_sample,Symbol.Riboseq_sample-RNAseq_sample
INTS6,0.260159661039215,3.84641888950487,0.23191313856027,0.82263767894673,0.912600824333353,-6.70481399278404,INTS6
INTS6-AS1,3.43315672102507,1.54234580526825,2.39995166311185,0.0442792906976439,0.148570611009397,-4.42249142143802,INTS6-AS1
INTS6L,-2.58221907222688,4.90689344749854,-5.02080140213501,0.00114375831456347,0.0121072560312215,-1.01262255441159,INTS6L
INTS7,0.38143790858842,5.7152791118329,0.821894955689529,0.435796491550518,0.641321031866541,-6.20924682787428,INTS7
INTS8,-1.72148839892433,4.42684612860942,-1.2083897460622,0.262625933798082,0.472956191640117,-6.21704542358141,INTS8
INTS9,1.87592524286363,3.46394378024857,0.974258519928277,0.359478341004331,0.571087562663818,-6.00848662016837,INTS9
INTU,-1.00653628735907,4.0927641692401,-1.37078991887047,0.208987058814988,0.409579143968355,-6.09451355263718,INTU
INVS,-1.10794577945579,4.01464948684565,-0.745335732526766,0.478156170209431,0.677922734710397,-6.59458210028302,INVS
IP6K1,-3.42882903616232,5.33969330991657,-6.30931763279072,0.000268215461917647,0.00436682622817388,0.568983844672118,IP6K1
IP6K2,-0.227877007668953,6.30234761893856,-0.64425303323742,0.538087790068153,0.723834013992799,-6.36244485908858,IP6K2
IPMK,-0.232934685554045,4.92640692228111,-0.484669144927378,0.64136989239977,0.80053307068155,-6.53571775081901,IPMK
IPO11,1.68276729312788,3.60051991312527,0.894116975967324,0.398290898253641,0.60643299633827,-6.14291537973314,IPO11
IPO13,-0.0817392806895132,4.92452146292092,-0.200473262492903,0.846293529385617,0.925814057438762,-6.66008982063697,IPO13
IPO4,1.76228723739441,6.30276944938024,4.46778070143995,0.00228574798737855,0.0198625992276721,-1.38278693997438,IPO4
IPO5,-0.209901053046741,7.86475862588604,-0.593961132161232,0.569537939519179,0.74795928419193,-6.79180250198057,IPO5
IPO5P1,-3.20246267787846,3.77688440860277,-5.09370089658532,0.00104742514958059,0.0114289771427383,-0.945262596833645,IPO5P1
IPO7,-0.859291670701493,7.87712111072496,-1.79123880633836,0.112408872946973,0.27479883573315,-5.37448289156699,IPO7
IPO8,-0.00575012787785578,6.50590568591746,-0.0131957246055898,0.989806443484044,0.996020784601139,-6.64441130273271,IPO8
IPO9,-1.52715447297301,6.87572661484002,-3.02868684059481,0.0170506241033369,0.0785700613911991,-3.29211925315903,IPO9
IPP,-1.86204906211561,2.99213157221871,-1.7138563559222,0.126293359305319,0.29632245350739,-5.59774655328954,IPP
IPPK,2.79764043641759,2.71123082746223,1.55619433740938,0.159656534076305,0.347105577098825,-5.33361906636233,IPPK
IQCB1,0.281358725578896,5.37866911108955,0.584724556165866,0.575427501444796,0.752337687695203,-6.39782212049752,IQCB1
IQCC,1.70948648532685,3.67083862739549,3.41145857843077,0.00971746153412305,0.0528733405206792,-2.63376441080668,IQCC
IQCD,1.11857893769377,1.8140724308816,0.73074653287155,0.486528208904463,0.684088334219382,-6.49343202745278,IQCD
IQCE,-0.865117841045858,5.25402272253818,-1.73341871166034,0.122638633434307,0.290725108839749,-5.27755761613097,IQCE
IQCG,-0.22916409813912,1.82870900407243,-0.98651634706096,0.353801250213802,0.565932915761155,-6.25506264465087,IQCG
IQCH,0.333302800941079,1.5427375820937,1.44540849244987,0.187705152741834,0.384350634971854,-5.78427840964574,IQCH
IQCH-AS1,1.770983505737,2.53052713493817,4.22205286005364,0.00315428879462313,0.0245949274932101,-1.53521755815072,IQCH-AS1
IQCK,2.0367700421728,1.89122396620668,1.30782490071565,0.228551539021824,0.433332699331967,-5.90820832304722,IQCK
IQGAP1,-1.61045779095946,7.92251710742123,-3.8648929256006,0.00511839773329098,0.0341660746426295,-2.18369189417732,IQGAP1
IQGAP2,-0.752981496753284,5.33801439817774,-0.66947388987092,0.522717611655185,0.711188909417564,-6.58662917380918,IQGAP2
