,Riboseq_control_1,Riboseq_control_2,RNAseq_control_1,RNAseq_control_2,RNAseq_control_3,Riboseq_sample_1,Riboseq_sample_2,RNAseq_sample_1,RNAseq_sample_2,RNAseq_sample_3
C1D,3.94829575104153,3.12236062953035,16.4526495806028,13.3071486525877,25.9495039182098,3.44274254379427,3.85552680128147,20.0207566547372,20.1673293539568,24.6556575134024
C1GALT1,2.63219716736102,1.24894425181214,32.5992033550549,35.2863717079852,56.8575117698355,0,0,48.1580362776111,47.0261228253555,45.4293604395883
C1GALT1C1,2.63219716736102,0,19.9727513513365,25.3433898495911,32.0649921027561,1.37709701751771,6.60947451648251,27.4158109145951,29.3680925154394,32.8392374540211
C1GALT1C1L,2.63219716736102,0,5.20362870456276,4.48555572559134,7.27247243567663,0,0,6.31285119743965,3.81041706687663,5.03604919422688
C1QBP,36.8507603430543,19.9831080289942,265.538111835776,295.747640840656,369.904393432825,61.6250915339174,185.06528646151,190.918656928282,215.335032779345,299.435091673407
C1QL1,0,0,15.4578382106129,18.2412599507381,11.7351259757509,4.81983956131197,2.20315817216084,9.01835885348522,8.27139314517122,13.4294645179384
C1QL4,0,7.49366551087284,16.2996016775275,15.8489635637561,12.5615432979869,0,12.1173699468846,14.5195577541112,15.6134162740311,15.6327360404126
C1QTNF1,0.658049291840255,3.12236062953035,13.5447394221707,17.2693895435267,12.7268267624341,0,0,12.9864367490187,16.6357232919736,14.5835591249487
C1QTNF12,0,0,3.13748201304519,3.28940753210032,1.65283464447196,0,0,1.8938553592319,2.13755103751616,1.04917691546393
C1QTNF3,0.658049291840255,0.62447212590607,3.36705386765825,3.51368531837989,4.13208661117991,0,0,4.50917942674261,2.97398405219639,3.77703689567016
C1QTNF6,0.658049291840255,1.24894425181214,15.687410065226,11.8867226728171,16.858913373614,0,2.20315817216084,12.7158859834142,13.9405502446706,4.93113150268049
C1R,0,4.99577700724856,9.8715897483617,9.19538923746225,8.26417322235981,0,0,14.5195577541112,7.80670813701553,12.6950406771136
C1RL,0,0,12.5499280521808,12.260518983283,13.3879606202229,0.688548508758853,0,16.8643310560174,19.4238333409077,16.1573244981446
C1RL-AS1,0.329024645920127,0,5.35667660763813,3.58844458047307,6.11548818454626,0,0,6.13248402036995,3.34573205872094,3.35736612948459
C1S,0,0,14.9986945013868,13.3071486525877,8.7600236157014,0,0,10.9122142127171,14.1264242479329,3.98687227876295
C1orf109,2.63219716736102,6.2447212590607,82.5693437091649,79.095299294594,73.7164251434495,13.0824216664182,23.1331608076888,70.794116999859,65.7993971548452,71.2391125600011
C1orf112,8.55464079392331,0.62447212590607,14.8456465983114,15.6994450395697,20.1645826625579,0,4.95710588736189,18.307268472575,15.3346052691377,21.8228798416498
C1orf115,5.92244362656229,0.62447212590607,58.3112510717179,55.6956502594258,69.4190550678224,8.26258210510624,9.36342223168356,97.0375412635009,100.929583771415,88.3406962820632
C1orf122,15.7931830041661,18.7341637771821,53.0310984156175,61.9754282752537,46.7752204385565,22.0335522802833,22.5823712646486,39.3200446011955,32.3420765676358,48.0523027282482
C1orf131,7.2385422102428,0,43.6951763280196,44.3322424212611,45.2876692585318,8.95113061386509,13.4943438044851,50.051891636843,43.4015797617411,57.3899772758772
C1orf159,2.63219716736102,1.87341637771821,24.48766449206,30.5765381961143,19.338165340322,0,1.10157908608042,18.1269012955053,19.2379593376454,17.3114191051549
C1orf174,4.60634504288178,0.62447212590607,37.8793560111554,43.6594090624224,37.1887795006192,15.8366157014536,24.7855294368094,33.0071934037559,35.1301866165699,36.5113566581449
C1orf198,6.58049291840255,4.37130488134249,74.45780484617,72.5912434924866,89.7489211948276,0,26.9886876089703,82.33761633232,71.09680624782,92.537403943919
C1orf21,1.31609858368051,8.11813763677891,64.0505474370445,56.0694465698918,70.2454723900584,6.19693657882968,7.71105360256293,63.5794299170708,62.1748540912309,53.4031049971142
C1orf216,0,0,55.7094367194366,48.7430388847593,41.6514330406935,0,0,61.8659417349086,54.6469569591087,61.9014380123721
C1orf220,0,0,4.20881733457282,3.88748162884583,1.65283464447196,0,0,4.1484450726032,3.53160606198322,1.99343613938147
C1orf226,0,4.37130488134249,19.0544639328842,20.1102415030679,22.1479842359243,0,2.20315817216084,18.5778192381795,21.0966993702682,18.1507606375261
