,logFC.Riboseq_sample-Riboseq_control,AveExpr.Riboseq_sample-Riboseq_control,t.Riboseq_sample-Riboseq_control,P.Value.Riboseq_sample-Riboseq_control,adj.P.Val.Riboseq_sample-Riboseq_control,B.Riboseq_sample-Riboseq_control,Symbol.Riboseq_sample-Riboseq_control
MIER2,1.75303964998326,4.48479431277649,0.949835247935797,0.37099439928809,0.625752506359967,-5.95504393870924,MIER2
MIER3,0.0307708642165272,5.5292750890462,0.0482599035568552,0.962734856328195,0.984341852546548,-6.3150232499859,MIER3
MIF4GD,-0.703692559620078,5.18850687081034,-1.2342082536833,0.253392638809904,0.575167398085423,-5.43911976836814,MIF4GD
MIGA1,0.397123204770672,5.52602590295034,0.64064195601716,0.54031067637812,0.728001261606051,-6.1430127107248,MIGA1
MIGA2,1.11493330588075,4.45007570449764,0.743575548940075,0.479161205654781,0.688093617876577,-6.35173706866637,MIGA2
MIIP,2.68652875573997,4.21323440907047,5.15140876555946,0.000977473566009527,0.0191316908950983,-0.422351328051891,MIIP
MINAR1,0.825238706764465,2.3253421931829,2.25260790728623,0.055534193528475,0.276192735243436,-5.15905281874033,MINAR1
MINCR,3.12273591789529,4.75243167908839,2.29717107754521,0.0518564908780744,0.270707748086742,-4.28767654964541,MINCR
MINDY1,-1.76518413197428,3.83915101564398,-2.04023748899047,0.076944841764557,0.307715370793938,-4.95600422524629,MINDY1
MINDY2,2.75107939199618,4.18811825653885,6.98267932706993,0.000136238012601851,0.00402711748315922,1.59216559740856,MINDY2
MINDY3,-0.980051577200936,4.12030519414199,-1.07134822866126,0.316377124911859,0.607912164071706,-6.1782241454564,MINDY3
MINK1,0.296781496194167,6.86735180696916,0.515209145277452,0.620838060218938,0.781328652823084,-6.11845418969833,MINK1
MINPP1,0.662295401860432,6.2324243089014,1.2893952180744,0.234567607013431,0.554694710027663,-5.47405087065521,MINPP1
MIOS,-1.14398536693761,4.84212640536799,-2.5873801449512,0.0332238826320045,0.232196951049741,-3.93646999640498,MIOS
MIPEP,-0.987369720106281,4.21135256390731,-1.20781403851059,0.262834969696605,0.586539981106671,-5.66957474588054,MIPEP
MIPEPP3,-0.11727901967834,1.49640181711875,-1.06037331021713,0.321036678987839,0.607912164071706,-6.85152216125051,MIPEPP3
MIPOL1,-0.451536685530561,3.31500328910158,-0.451637001169355,0.663954773024726,0.808846178606678,-7.02925061629308,MIPOL1
MIR10527,-0.11727901967834,2.01166972352614,-0.879687318696741,0.405592730415728,0.64245120318171,-7.02718026980978,MIR10527
MIR106B,-2.84904171280089,0.679939575297451,-3.89275927733838,0.00492536083891687,0.0695870030375865,-2.28800600796969,MIR106B
MIR10B,-1.9852102659198,2.37777325202453,-2.39501468818509,0.0446163452971281,0.261197557187936,-4.82482176522172,MIR10B
MIR1204,-0.997102877763894,1.22176519486203,-2.13377835886544,0.0666608187341488,0.291123920750862,-5.42972726774543,MIR1204
MIR12136,-0.969702591661687,7.35188455263793,-0.436367424925495,0.674522498949953,0.815559101650716,-6.15175952279066,MIR12136
MIR1469,-0.11727901967834,1.39679197021097,-0.879665469672496,0.40560385929607,0.64245120318171,-7.02719992888719,MIR1469
MIR17HG,-0.11727901967834,3.58295013083144,-0.574669602337605,0.581878107880666,0.755838964986818,-7.26021327749938,MIR17HG
MIR1915HG,0.761405769922274,3.48737127744382,1.43276626736727,0.191170470821682,0.502064074694886,-6.17303727544563,MIR1915HG
MIR1973,-0.11727901967834,1.46821290664039,-1.1145885997071,0.29853794061417,0.60717441561597,-6.79400198319764,MIR1973
MIR210HG,-0.493423795475296,2.22865604640459,-0.78425527084767,0.456290048674735,0.674000799808856,-7.00703217451592,MIR210HG
MIR224,-0.0319602625285711,1.62436241093475,-0.0718501572633206,0.944548589221767,0.972687906295335,-6.22439420673276,MIR224
MIR22HG,-0.70988293599511,2.08882518512305,-0.735557147832193,0.483757121740752,0.690262484076162,-6.86778337716966,MIR22HG
MIR25,-2.03915755780833,2.16432109897105,-2.92016245923085,0.0200581008046601,0.19199608766239,-3.70463257606729,MIR25
MIR3064,-0.11727901967834,1.62149551619975,-0.934657705343689,0.378288582083364,0.628447863244561,-6.97647212370639,MIR3064
MIR30E,-0.856506203440697,0.178999373493338,-0.995022475577235,0.3499019596054,0.616216263580396,-6.72174958704106,MIR30E
MIR3141,-2.18337154419584,0.0607577422646374,-13.4489958833487,1.24794329369699e-06,0.000305111559518289,6.20214200355252,MIR3141
MIR31HG,-2.08301005604175,1.77203420159642,-3.49791172840347,0.00858051682676657,0.106885971697848,-2.79044660004122,MIR31HG
MIR34AHG,0.825238706764465,4.29434718134565,1.98770363843643,0.0833854349094239,0.319773722680509,-5.55707799250817,MIR34AHG
MIR3654,0.744478866680498,5.42512443678061,0.495630760121915,0.633961088900025,0.7880618749835,-6.72566891540058,MIR3654
MIR3909,-2.42094360612221,0.145209717569075,-7.93078904829262,5.68415398012358e-05,0.00207055356472936,2.33546036088661,MIR3909
MIR3916,1.2890602254168,2.1867212782119,2.64465953527256,0.0304421652886857,0.225051962489191,-4.44434314525646,MIR3916
MIR410,-1.89691528915419,0.005341632657398,-15.4287491015905,4.4759026445238e-07,0.000294494447196722,7.21233163461072,MIR410
MIR4426,1.57003683069632,6.79715640726673,1.67299328469826,0.13425812787099,0.422577677185038,-5.1483279597209,MIR4426
MIR4435-2HG,1.81280570935521,5.11801450432576,4.72670765392329,0.00164375109130128,0.0293091588282088,-1.14884218386338,MIR4435-2HG
MIR4442,0.825238706764465,3.22809071305942,1.86639376812676,0.100316278467751,0.359002601692166,-5.73424668820778,MIR4442
MIR4453HG,-0.11727901967834,1.87099397013617,-1.00301106919908,0.346269871918703,0.615171555503264,-6.91003884812157,MIR4453HG
MIR4458HG,0.800832683233711,2.48181061109289,1.51610991461359,0.169336871095896,0.473847597586479,-6.04974455002556,MIR4458HG
MIR4521,-2.51602314085807,0.125392975968263,-9.41431551951966,1.69280008101968e-05,0.00090672265745233,3.59868671477279,MIR4521
MIR4685,-0.0545851513210898,0.0892816184099123,-0.0804259680060167,0.937945319963204,0.96906032957271,-7.34629347333237,MIR4685
MIR4697HG,-0.11727901967834,3.458683688105,-0.625220972260388,0.549865406574408,0.734607149282404,-7.22759913312422,MIR4697HG
MIR503HG,-0.11727901967834,1.49849484700834,-0.925955362386224,0.382518537214738,0.630098802499986,-6.98466411209779,MIR503HG
MIR5047,-0.11727901967834,3.55765512215494,-0.533055244237205,0.609001299018888,0.773245641963512,-7.28516471807693,MIR5047
MIR570HG,0.825238706764465,1.46536050212823,2.18903837579933,0.0612352635794981,0.280762399683573,-5.2556912152819,MIR570HG
MIR600HG,-0.997102877763894,3.69458094474191,-2.10427225397335,0.0697495667580396,0.297618357044911,-5.47413501985317,MIR600HG
MIR663A,0.218180413948372,0.60179274758858,0.277978555452587,0.788331996177342,0.883779362928343,-7.23573477774241,MIR663A
MIR7-1,-0.11727901967834,1.1095376782304,-0.539346246729116,0.604857636594126,0.77049376614891,-7.28150399619334,MIR7-1
MIR762HG,-2.84904171280089,2.43547771603926,-7.3192898620211,9.88900745472023e-05,0.00316997627854087,1.8184440126692,MIR762HG
MIR9-3HG,-0.11727901967834,1.57934357693465,-1.04487057663032,0.327710246920405,0.607912164071706,-6.86757882081535,MIR9-3HG
MIR924HG,-0.11727901967834,1.3534917724553,-0.588008561884819,0.573329536575279,0.750138645360399,-7.2518508793287,MIR924HG
MIR93,-2.41605132935943,1.64593831503839,-2.80913054512238,0.0237127457414746,0.203064717656527,-3.8003323364074,MIR93
MIR99AHG,1.16214398308256,3.06212248920378,0.69630404469965,0.506668179593292,0.705131547576772,-6.28342472635611,MIR99AHG
MIRLET7BHG,-0.11727901967834,1.3682654932512,-1.0400528264896,0.32980611514875,0.607912164071706,-6.87253257122921,MIRLET7BHG
MIS12,-1.95143011923111,5.66275392255636,-2.3761830272705,0.0459259769912081,0.265207421631248,-4.37787090748037,MIS12
MIS18A,0.862436482195709,6.13213577125975,0.862898793417108,0.414208756676519,0.648043526579044,-5.97576485413148,MIS18A
MIS18BP1,1.67058280707207,5.0665920521434,0.874970277004963,0.408000466550908,0.644260635149997,-6.03445907129602,MIS18BP1
MISP3,-1.36964838844261,2.18816973911612,-2.08349470144357,0.0720087067226002,0.298629341547497,-5.44586234387426,MISP3
MITD1,1.6027032394591,4.03045572640836,1.18735281115927,0.270354353865622,0.594944554464011,-5.95582555480434,MITD1
MITF,0.489669133084403,2.68726346236678,0.394834403061623,0.703654708710495,0.835134044195235,-6.90099204819123,MITF
MKI67,-0.277297423217089,9.50400607521328,-0.382657622047894,0.712298931906739,0.84055236360886,-6.73051490788855,MKI67
MKKS,-1.05035461254839,5.5118334255368,-2.15016969967149,0.0650036724758692,0.288636461639905,-4.43063412258513,MKKS
MKLN1,-2.68855395315995,5.91753110421152,-1.91411317796948,0.093294406813318,0.342871800836207,-4.76990216829195,MKLN1
MKNK1,2.66055728213712,3.50691196357247,2.29306748807679,0.0521847071695956,0.270707748086742,-4.31598532667448,MKNK1
MKNK2,-0.00146764989397052,6.55193426571358,-0.00238982637689202,0.998153826077982,0.999334428623377,-6.22586544798068,MKNK2
MKRN1,-0.601352609637989,6.87741026150613,-0.852082002358742,0.419828665461954,0.651536148390391,-5.8198550761423,MKRN1
MKRN2,-0.407846526042468,5.92683939392222,-0.690212784349553,0.510284366650394,0.707195250854345,-5.94971565078226,MKRN2
MKRN9P,-0.11727901967834,3.27611618649354,-1.04617815780887,0.327143206778253,0.607912164071706,-6.86623135990492,MKRN9P
MKS1,0.541604183846722,4.7504936654069,0.845627281276472,0.423207845160457,0.653605648888976,-6.00563635289609,MKS1
MKX,1.06214416935424,3.00662392025964,1.61778845354972,0.145759592082183,0.440515842402155,-5.81317376530666,MKX
MLEC,2.26707133419075,7.39988600549393,5.93877056330121,0.000398210188414307,0.00922019577508248,0.569896917823911,MLEC
MLF1,1.32610826607599,2.94543529988352,1.7045710299834,0.128063515177955,0.413231825218496,-5.59996709364223,MLF1
MLF2,-0.0654885479841223,8.02977276217009,-0.144352816887154,0.888920922310188,0.943853270170498,-6.62882879567783,MLF2
MLH1,-1.2348160278739,4.26953865170207,-1.11695831227845,0.297584051182297,0.606973856834577,-6.07009660248721,MLH1
MLH3,1.44741917374827,4.5463962710928,1.14449338352587,0.286679343089227,0.604324128055139,-6.00119662122329,MLH3
MLKL,0.884556702622322,3.25879295726438,1.54032795872908,0.163426678484213,0.466817789531639,-5.98472493017529,MLKL
MLLT1,-0.000191923322519827,6.61620198753512,-0.000340027956335633,0.999737323425192,0.999962728365427,-6.23406106553238,MLLT1
MLLT10,0.568895222866924,4.60963862357063,0.430618899367304,0.678521217681979,0.818435367928969,-6.81689541162842,MLLT10
MLLT11,0.975566877816309,5.31367398657725,0.71522649007638,0.495538494755017,0.698225660139823,-6.43750716351408,MLLT11
MLLT3,-0.0215754809208395,4.88837142321651,-0.0347825893471161,0.973136058576425,0.989153878973903,-6.40378154097536,MLLT3
MLLT6,0.202169682587086,7.26904347963236,0.34184298952951,0.741592845437593,0.857777629241718,-6.19204438158872,MLLT6
MLST8,-1.95900731835316,5.5067851391943,-3.60847561077578,0.0073290170966732,0.09533009163166,-2.20774481596975,MLST8
MLX,-0.508308606920455,5.21039008239246,-0.837622077120039,0.427425296333771,0.655958951298393,-6.00485484146097,MLX
MLXIP,1.49986502310524,6.79461818724677,2.67781155580089,0.0289426080918256,0.217888200121102,-3.6192711816717,MLXIP
MLXIPL,-1.76063085594953,3.43048470256773,-3.50070188932716,0.00854627114113036,0.106551392576323,-2.96111143522117,MLXIPL
MLYCD,0.812655058530251,4.61323493029553,1.43690150239936,0.190030792432752,0.500387298410587,-5.36455156353347,MLYCD
MMAA,-1.87990673189605,1.78023446902428,-2.46005021510159,0.0403770335735605,0.252284628606585,-4.75563650354794,MMAA
MMAB,1.24392505080396,4.910940017126,0.719898576142003,0.492814829951324,0.696412747150988,-6.2001635150112,MMAB
MMACHC,-0.932136526838725,4.36702103862231,-0.644685861950544,0.537821723142862,0.726230482846628,-6.6350647874163,MMACHC
MMADHC,1.49625482788764,4.68137193276699,0.955617382551008,0.36824334289335,0.62488231743486,-6.08180287545308,MMADHC
MMD,-1.30761047530042,4.18674696935621,-2.05318310787702,0.0754338510500342,0.304251628038732,-4.63938379029551,MMD
MME,-0.11727901967834,1.47203352237588,-0.918807521029564,0.386018919603586,0.632127026372144,-6.99134692516724,MME
MMGT1,0.813956008993401,5.63952299210466,1.19898246252289,0.266059000945264,0.590628053037156,-5.65249005273003,MMGT1
MMP14,1.69138918817544,3.43229794288848,2.54032464995935,0.035703210722698,0.238089874077899,-4.50428064505691,MMP14
