,logFC.RNAseq_sample-RNAseq_control,AveExpr.RNAseq_sample-RNAseq_control,t.RNAseq_sample-RNAseq_control,P.Value.RNAseq_sample-RNAseq_control,adj.P.Val.RNAseq_sample-RNAseq_control,B.RNAseq_sample-RNAseq_control,Symbol.RNAseq_sample-RNAseq_control
THADA,0.144005323888857,4.60477134076054,0.671263536601871,0.519264065063201,0.980696143326746,-5.80161719301007,THADA
THAP1,0.48412618171632,2.73803070960662,0.505406847518998,0.625675036251617,0.996391562030057,-5.41041450667089,THAP1
THAP10,0.075362704572965,2.89755695992778,0.0850883597654022,0.934093470167536,0.999969548839946,-5.55602041101226,THAP10
THAP11,-0.299765401505598,5.21388261564943,-1.23791397947348,0.247723144202794,0.843345876502301,-5.41259631206221,THAP11
THAP12,0.440199938502572,3.60911758658759,0.674979954979559,0.517010169192763,0.979582989081763,-5.83200617912594,THAP12
THAP2,0.747432363192526,1.40570389774378,0.778820198835137,0.456495248678298,0.960213859167873,-5.28023051251978,THAP2
THAP3,-0.969853820544531,2.98398441712661,-2.61387519439797,0.0285797233517446,0.483524962981816,-3.26752814340148,THAP3
THAP4,-1.09576846313791,4.86078386758017,-3.59651849513086,0.00598540342488505,0.300718596272338,-2.02175308825546,THAP4
THAP5,0.581961275033131,2.84641482737109,0.686120342507789,0.510289733029452,0.97631634337768,-5.52945247311087,THAP5
THAP6,0.499310524725766,1.36514724858835,0.649506312729282,0.532578365022765,0.981471814214141,-5.33849368710588,THAP6
THAP7,-1.10483075785058,2.1964766470468,-0.845529384369123,0.42018699285531,0.94515171320137,-5.20333656452241,THAP7
THAP7-AS1,-0.65667332134803,0.647838988440231,-2.24026929238486,0.0524379118855177,0.559127976830048,-3.78693440918248,THAP7-AS1
THAP8,-0.123799365295566,1.03419893598975,-0.147132309309575,0.886339723477386,0.999969548839946,-5.74909402680441,THAP8
THAP9,0.405894905438711,0.670910289422202,1.3497446669406,0.210756315411122,0.807522387763098,-4.87198996436443,THAP9
THAP9-AS1,0.110888086392124,2.96834297345463,0.200676464575894,0.845507960385294,0.999969548839946,-5.94505232986727,THAP9-AS1
THBD,-0.145524330005235,0.80641258842621,-0.584223778591336,0.573723543006843,0.992638491901205,-5.6478476885857,THBD
THBS1,0.0625758597059671,0.797502826683656,0.232656407329856,0.821343394982382,0.999969548839946,-5.92448266373895,THBS1
THBS3,-0.0412686528397015,2.024022681363,-0.0373891216544639,0.971008279991083,1,-5.51562882022843,THBS3
THBS4,-0.17001774449675,1.38688377448024,-0.250782192382009,0.807733617450039,0.998645782309963,-5.834641903048,THBS4
THEM4,0.238578479966122,1.62632743151187,0.328674963598282,0.75007954696988,0.998645782309963,-5.54085301352453,THEM4
THEM6,-0.828699473937883,3.49855902096583,-1.72310035477959,0.119694024947862,0.69836773208039,-4.41199751186683,THEM6
THG1L,-0.482179895034567,4.03506024039608,-0.837412177931906,0.424495937335769,0.947055267173654,-5.60892884006156,THG1L
THNSL1,0.018627286986173,1.58835230258041,0.052324881280993,0.959437097773976,0.999969548839946,-5.59389012058272,THNSL1
THNSL2,-0.151970881257125,0.14310777927043,-0.779275956144586,0.456240296322137,0.960213859167873,-5.74491072473247,THNSL2
